ds:H00001	B lymphoblastic leukemia/lymphoma
ds:H00002	T lymphoblastic leukemia/lymphoma
ds:H00003	Acute myeloid leukemia (AML)
ds:H00004	Chronic myeloid leukemia (CML)
ds:H00005	Chronic lymphocytic leukemia (CLL)
ds:H00006	Hairy-cell leukemia
ds:H00007	Hodgkin lymphoma
ds:H00008	Burkitt lymphoma
ds:H00009	Adult T-cell leukemia
ds:H00010	Multiple myeloma
ds:H00011	Lymphoplasmacytic lymphoma
ds:H00012	Polycythemia vera
ds:H00013	Small cell lung cancer
ds:H00014	Non-small cell lung cancer
ds:H00015	Malignant pleural mesothelioma
ds:H00016	Oral cancer
ds:H00017	Esophageal cancer
ds:H00018	Gastric cancer
ds:H00019	Pancreatic cancer
ds:H00020	Colorectal cancer
ds:H00021	Renal cell carcinoma
ds:H00022	Bladder cancer
ds:H00023	Testicular cancer
ds:H00024	Prostate cancer
ds:H00025	Penile cancer
ds:H00026	Endometrial cancer
ds:H00027	Ovarian cancer
ds:H00028	Choriocarcinoma
ds:H00029	Vulvar cancer
ds:H00030	Cervical cancer
ds:H00031	Breast cancer
ds:H00032	Thyroid cancer
ds:H00033	Adrenal carcinoma
ds:H00034	Carcinoid
ds:H00035	Ewing's sarcoma
ds:H00036	Osteosarcoma
ds:H00037	Alveolar rhabdomyosarcoma
ds:H00038	Melanoma
ds:H00039	Basal cell carcinoma
ds:H00040	Squamous cell carcinoma
ds:H00041	Kaposi's sarcoma
ds:H00042	Glioma
ds:H00043	Neuroblastoma
ds:H00044	Cancer of the anal canal
ds:H00045	Pancreatic neuroendocrine tumor
ds:H00046	Cholangiocarcinoma
ds:H00047	Gallbladder cancer
ds:H00048	Hepatocellular carcinoma
ds:H00049	Myxoid liposarcoma
ds:H00050	Synovial sarcoma
ds:H00051	Alveolar soft part sarcoma
ds:H00052	Clear cell sarcoma of soft tissue
ds:H00053	Extraskeletal myxoid chondrosarcoma
ds:H00054	Nasopharyngeal cancer
ds:H00055	Laryngeal cancer
ds:H00056	Alzheimer's disease (AD)
ds:H00057	Parkinson's disease (PD)
ds:H00058	Amyotrophic lateral sclerosis (ALS); Lou Gehrig's disease
ds:H00059	Huntington's disease (HD)
ds:H00060	Dentatorubropallidoluysian atrophy (DRPLA)
ds:H00061	Prion diseases; Creutzfeldt-Jacob disease (CJD); Gerstmann-Straussler disease (GSD); Gerstmann-Straussler-Scheinker disease (GSSD); Fatal familial insomnia (FFI)
ds:H00062	Spinal and bulbar muscular atrophy (SBMA); Kennedy's disease
ds:H00063	Spinocerebellar ataxia (SCA)
ds:H00064	Ataxia telangiectasia (AT); Louis-Bar syndrome; Boder-Sedgwick syndrome
ds:H00065	Alexander disease
ds:H00066	Lewy body dementia (LBD); Dementia with Lewy bodies (DLB)
ds:H00067	Friedreich ataxia
ds:H00068	Leber hereditary optic atrophy (LHON); Leber optic atrophy
ds:H00069	Glycogen storage diseases (GSD)
ds:H00070	Galactosemia
ds:H00071	Hereditary fructose intolerance; Fructosemia
ds:H00072	Pyruvate dehydrogenase complex deficiency
ds:H00073	Pyruvate carboxylase deficiency
ds:H00074	Canavan disease (CD)
ds:H00075	Refsum disease; Heredopathia atactica polyneuritiformis
ds:H00076	Cockayne syndrome
ds:H00077	Progressive supranuclear palsy (PSP); Steele-Richardson-Olszewski syndrome
ds:H00078	Frontotemporal lobar degeneration (FTLD)
ds:H00079	Asthma
ds:H00080	Systemic lupus erythematosus
ds:H00081	Hashimoto's thyroiditis
ds:H00082	Graves' disease
